numTweets,posting_user,GROUP_CONCAT(url)
268,TNGOP,"http://thehill.com/blogs/blog-briefing-room/news/264630-poll-most-name-government-americas-biggest-problem,http://www.politico.com/story/2015/12/2016-presidential-election-tennessee-media-217134,http://spkrryan.us/1Sxzn1k,http://gunsarenext.com,http://ow.ly/WF6oW,http://duncan.house.gov/press-release/gun-executive-orders-unconstitutional,http://ow.ly/WFnLk,http://www.timesfreepress.com/news/local/story/2016/jan/05/tennesseans-should-expect-tv-ads-galore-presi/343224/,http://www.tennessean.com/story/news/politics/2016/01/05/tn-republicans-criticize-obama-gun-action/78299880/,http://abcn.ws/1mBUGTw,https://twitter.com/MBowmanVOA/status/684731782055346176,https://www.washingtonpost.com/news/the-fix/wp/2016/01/06/why-we-should-know-who-the-republican-presidential-nominee-is-by-march-15/,http://goo.gl/itwF8I,http://fleischmann.house.gov/press-release/fleischmann-votes-repeal-obamacare-and-defund-planned-parenthood,https://www.facebook.com/teamronramsey/posts/10153910215295452,http://www.register.gop/,http://www.vo"
243,NCGOP,"http://www.politico.com/story/2015/12/state-dept-to-miss-target-in-clinton-email-release-217255,http://www.forbes.com/sites/patrickgleason/2015/12/31/state-tax-changes/,http://goo.gl/tCgDdt,http://www.charlotteobserver.com/news/politics-government/article53181805.html,https://www.youtube.com/watch?v=msSx7rBUXSg,http://washex.am/1OaEVJL,https://www.youtube.com/watch?v=6rt7mEoaHrA&feature=youtu.be,https://www.youtube.com/watch?v=6rt7mEoaHrA&feature=youtu.be,http://www.washingtonexaminer.com/state-dumps-thousands-of-clinton-emails-at-1-a.m./article/2579929,http://thehill.com/business-a-lobbying/lobbying-hires/265281-ex-sen-kay-hagan-joins-lobby-firm,https://www.instagram.com/p/BAaZuOaAQpj/,http://abcnews.go.com/Politics/bernie-sanders-takes-slim-lead-hillary-clinton-iowa/story?id=36240514,https://twitter.com/govofficeNC/status/687022958154498048,https://gop.com/the-top-10-broken-promises-of-the-obama-presidency/,http://sotu.gop.gov/,https://twitter.com/SenatorBerger/status/687283051718656001,http://www.rga.org/h"
229,RealBenCarson,"http://on.fb.me/1YXahZx,https://slate.adobe.com/cp/PeeD8/,https://amp.twimg.com/v/63ecdbd3-ba20-4a20-96e7-51db2d81d4ad,http://crsn.co/BCyardsigns,https://amp.twimg.com/v/fe2f85c3-503b-45f5-8b7a-d99b6aa426b7,http://www.breitbart.com/big-government/2016/01/04/dr-ben-carson-proposes-14-9-percent-flat-tax-throw-current-tax-code/,https://vine.co/v/ibPUPKlqrAr,http://bencarson.com/issues/tax-reform,https://amp.twimg.com/v/1753e9a2-9fd9-47bb-ba5b-a6838690b664,http://bencarson.com/students,http://bencarson.com/issues/tax-reform,https://amp.twimg.com/v/7efc6831-46ab-4d5a-aae2-53a22a1fc20e,http://crsn.co/1R9Iupv,http://crsn.co/PrescriptionForGrowth,http://crsn.co/CarsonFlatTax,http://crsn.co/CarsonFlatTax,http://crsn.co/HelpBenReformTax,http://crsn.co/FairTaxSystem,https://twitter.com/TomLatham/status/684830589208363008,https://amp.twimg.com/v/bdfd37af-219c-4bac-b6f1-adfebf101a5c,https://amp.twimg.com/v/771e1351-c7b1-4c6a-968c-b8a73e17b73a,http://on.msnbc.com/1PQ1GHs,http://crsn.co/1ORmnO6,https://twitter.com/Jmrhosbor"
212,KYSenateGOP,"http://bit.ly/CapitolConnection,https://twitter.com/kytonightket/status/684190862637674497,http://KET.org/legislature,http://www.ket.org/public-affairs/senate-president-robert-stivers/,https://twitter.com/adambeam/status/684389372523855872,http://bit.ly/1Z3TMux,http://www.ket.org/public-affairs/on-the-eve-of-a-new-legislative-session/,https://www.facebook.com/media/set/?set=a.986027001470284.1073741987.428596363880020&type=3,https://www.instagram.com/kysenate.gop/,https://www.youtube.com/watch?v=GDwpJjTZiDs,http://www.ket.org/legislature/,http://www.ket.org/legislature/?legislation=senate&autoplay=true,https://kysenategop.wordpress.com/2016/01/06/kentucky-senate-majority-files-priority-legislation-for-2016-regular-session/,https://twitter.com/SenatorSchickel/status/685098830250008576,https://twitter.com/kysenategop/status/685181383489261568,http://ket.org/live,http://www.ket.org/live,https://twitter.com/billket/status/685276004106027008,http://www.lrc.ky.gov/legislative_calendar/index.aspx,http://www.ket.org/"
200,PASenateGOP,"http://dlvr.it/DB53zN,http://PASenateGOP.com,http://dlvr.it/DBbcTz,http://dlvr.it/DBcZGn,http://dlvr.it/DCyyYc,http://dlvr.it/DD0DSH,http://PASenateGOP.com,http://senateaddress.pasen.gov,http://dlvr.it/DGvfw9,http://PASenateGOP.com,http://PASenateGOP.com,http://goo.gl/P020jO,http://PASenateGOP.com,http://PASenateGOP.com,http://goo.gl/P020jO,http://PASenateGOP.com,http://dlvr.it/DKrkhd,http://dlvr.it/DKvRCW,http://dlvr.it/DLTvL5,http://PASenateGOP.com,http://PASenateGOP.com,http://PASenateGOP.com,http://PASenateGOP.com,http://goo.gl/P020jO,http://PASenateGOP.com,http://PASenateGOP.com,http://dlvr.it/KKyz63,http://dlvr.it/KKyvqC,http://bit.ly/1PKPBVA,http://dlvr.it/KNB4lH,http://PASenateGOP.com,http://dlvr.it/KNhHqy,http://thetimes-tribune.com/news/state-budget-impasse-cost-school-districts-up-to-50-million-to-date-1.2002286,http://dlvr.it/KQ9mVS,http://PASenateGOP.com,http://dlvr.it/KQl8MJ,http://dlvr.it/KQnCnG,http://PASenateGOP.com,http://dlvr.it/KS3Sny,http://dlvr.it/KS53xR,http://dlvr.it/KS79RF,http://dlvr"
199,MISenate,"http://www.freep.com/story/money/business/michigan/2016/01/02/5-trends-watch-state-economy/78012668/,https://twitter.com/JohnMProos/status/684475846392987648,http://bit.ly/1mFI1ig,http://ow.ly/WOgYV,http://bit.ly/1mYvN4G,http://1.usa.gov/1njLeo4,00.html,4668,7-277-74857_74858---,http://www.michigan.gov/snyder/0,http://senate.michigan.gov,http://bit.ly/1nm8IJi,http://bit.ly/1OGNqN0,http://bit.ly/1Pkp80Y,http://bit.ly/1OGNqN0,http://bit.ly/1Pn5cdN,http://bit.ly/1OL9LZT,http://bit.ly/1OLop3l,https://twitter.com/MichStatePolice/status/690591273296752641,http://1.usa.gov/1OtGW3K,http://fb.me/7TSeSAQTu,http://bit.ly/1PE1DQC,http://bit.ly/1PF14py,http://bit.ly/1PHJilN,http://bit.ly/1KKf61E,http://bit.ly/1KKf61E,http://bit.ly/1NMpshw,http://www.micollegegoal.org,http://bit.ly/1XZXpkV,http://bit.ly/1OGNqN0,http://bit.ly/1OGNqN0,http://bit.ly/1XZXpkV,http://bit.ly/20F5XAV,http://bit.ly/1XZXpkV,http://bit.ly/1OGNqN0,http://bit.ly/1OGNqN0,http://bit.ly/1nNmpRC,http://bit.ly/1XZXpkV,http://bit.ly/1XZXpkV,http://bit.ly/1OG"
160,massgop,"https://twitter.com/PatriotLedger/status/684035622533599232,https://twitter.com/MassGovernor/status/684035947508314112,http://www.thesunchronicle.com/news/local_news/kevin-dumas-prepares-for-act-as-attleboro-s-mayor/article_4a94a482-bb8f-5e0f-a713-d5049932a27a.html,http://www.patriotledger.com/article/20160104/NEWS/160108854,http://www.patriotledger.com/article/20160104/NEWS/160108747,https://www.facebook.com/events/445893705614807/,http://scituate.wickedlocal.com/news/20160106/legislative-highlights-hedlund-recalls-most-rewarding-work-within-district,https://twitter.com/MassLtGov/status/684797872232087552,https://twitter.com/PatrickMOConnor/status/684804375617900544,https://twitter.com/the_rga/status/684872511008432128,http://www.bostonherald.com/opinion/editorials/2015/12/editorial_toast_to_local_control,http://www.massgop.com/baker_one_year,https://twitter.com/ejdooley/status/685183470545547265,http://www.salemnews.com/news/local_news/candidates-preparing-for-feb-primary/article_525c757e-3050-542d-bce3-759"
155,gov_gilmore,"https://twitter.com/FoxNews/status/682753929852096512,https://twitter.com/GOPAlert2016/status/683347841243295744,http://tun.in/seq5p,https://twitter.com/AddictionPolicy/status/684400816204177409,https://twitter.com/AddictionPolicy/status/684398812908122112,http://www.wmur.com/health/presidential-candidates-hear-stories-share-ideas-at-addiction-forum/37279944,http://www.necn.com/news/new-england/-Candidates-React-to-Obamas-Executive-Order-on-Guns-364305041.html,http://www.gilmoreforamerica.com/veterans/,https://youtu.be/QeNo-aqOt-4,http://www.c-span.org/video/?401497-14/presidential-candidate-jim-gilmore-republican-jewish-coalition-presidential-forum,https://twitter.com/psutherlandNHPR/status/685117969484087296,http://bit.ly/1RxGNkp,https://twitter.com/SmithAnnev/status/685486386988855296,http://ow.ly/WNCy7,https://twitter.com/tobinharshaw/status/685556996569993216,https://twitter.com/jamie_weinstein/status/685594507572842496,https://twitter.com/NHPSC/status/684815194464333824,https://twitter.com/nhpsc/status/"
150,NHGOP,"http://www.wmur.com/politics/jeb-bush-confirms-appearance-at-nhgops-firstinnation-town-hall/37258572,http://www.wmur.com/politics/jeb-bush-confirms-appearance-at-nhgops-firstinnation-town-hall/37258572,https://twitter.com/RalstonReports/status/684088448865550336,http://nhgop.org/news-press/nh-tax-relief-takes-effect-despite-hassan-budget-veto,http://nhgop.org/news-press/nh-tax-relief-takes-effect-despite-hassan-budget-veto,http://nhgop.org/news-press/nh-tax-relief-takes-effect-despite-hassan-budget-veto,http://nhgop.org/news-press/nh-tax-relief-takes-effect-despite-hassan-budget-veto,https://www.youtube.com/watch?v=w7Hk_CzrnF8,https://twitter.com/DanPKnight/status/684750756482826240,http://nhgop.org/news-press/clinton-campaigns-with-first-in-the-nation-foe,http://nhgop.org/news-press/clinton-campaigns-with-first-in-the-nation-foe,http://nhgop.org/news-press/clinton-campaigns-with-first-in-the-nation-foe,http://nhgop.org/news-press/clinton-campaigns-with-first-in-the-nation-foe,https://twitter.com/SenScottBrow"
141,OhioSenateGOP,"http://ow.ly/WuKBe,http://ow.ly/WztXG,http://www.lsc.ohio.gov/fellowship/,http://ow.ly/WL6fr,http://www.mansfieldnewsjournal.com/story/news/local/2016/01/07/spread-light-week-kicks-saturday/78431710/,http://www.wkyc.com/story/news/local/lorain-county/2015/12/24/diabetes-law-changes/77893956/,http://ow.ly/WTZFv,http://ow.ly/WXZr9,http://ow.ly/X1ynq,http://ow.ly/X3Hgd,http://ow.ly/X4bwm,http://timesgazette.com/news/5069/parking-for-veterans,http://ow.ly/X7PLX,http://ow.ly/X7Rj5,http://ow.ly/XhEFv,http://ow.ly/XhViy,http://eepurl.com/bNwiVH,http://m.newswatchman.com/news/article_b101d38b-31be-5f3a-b4d2-ca0f60e9f431.html?mode=jqm,http://ohiosenate.gov/widener/press/widener-announces-plans-to-retire-after-more-than-two-decades-of-public-service,http://ohiosenate.gov/faber/press/senate-president-faber-issues-statement-on-retirement-of-senator-widener,http://www.publicsafety.ohio.gov/video_challenge/index.html,http://ow.ly/Xw2f4,https://twitter.com/oscpa/status/691717277276884993,http://ow.ly/Xy353,http://ow.ly/XywE"
120,SenateRepCaucus,"http://dlvr.it/DBJ8qd,http://dlvr.it/DBj6Xv,http://dlvr.it/DCBzb6,http://dlvr.it/DCC4Cn,http://dlvr.it/DCC1f0,https://www.periscope.tv/w/aV6nsDE0NDk4NTQ0fDFPeUtBYXBlam1vS2JnM4Xf7AycPdi9JmiLtbOjYyEJ7D4Wi9L25IQLICmT3g==,http://dlvr.it/DCbgzD,http://dlvr.it/DCj1ZC,http://dlvr.it/DCj19r,http://dlvr.it/DCj3vP,http://dlvr.it/DCj1N4,http://dlvr.it/DChzd2,http://dlvr.it/DCj5Rm,http://dlvr.it/DCj4M4,http://dlvr.it/DCj0fs,http://dlvr.it/DChzSc,http://dlvr.it/DCj3Nd,http://dlvr.it/DDD4BX,http://dlvr.it/DFXdhZ,http://dlvr.it/DFXkcV,http://dlvr.it/DFXbtj,http://cssrc.us/content/senate-republican-leader-fuller-recognizes-korean-american-day,http://dlvr.it/DGXdrp,http://dlvr.it/DGXdSW,http://dlvr.it/DGdm6W,http://dlvr.it/DH3tqg,http://dlvr.it/DHXBmB,http://dlvr.it/DHX6xd,http://dlvr.it/DHX9vN,http://dlvr.it/DHXBjp,http://dlvr.it/DHcjg9,http://bit.ly/1OvOovm,http://dlvr.it/DKRvWK,http://dlvr.it/DKYPmh,http://dlvr.it/DKzV6B,http://dlvr.it/DL51hq,https://www.periscope.tv/w/aXEkiDE0NDk4NTQ0fDFCUktqZGRncGJvSndpMXKQacbOl1yv7udt_r"
